flight_id,airline,source,destination,route,departure_time,arrival_time,departure_date,departure_hour,duration_minutes,overnight_flight,anomaly_flag,data_quality_status
SJ010,SpiceJet,CCU,MAA,CCU → MAA,38:41.7,32:41.7,4/20/2026,23,174,TRUE,FALSE,Valid
AI155,Air India,BOM,CCU,BOM → CCU,35:41.7,23:41.7,4/20/2026,23,108,TRUE,FALSE,Valid
UK094,Vistara,BOM,CCU,BOM → CCU,26:41.7,11:41.7,4/20/2026,23,105,TRUE,FALSE,Valid
AI245,Air India,BOM,CCU,BOM → CCU,07:41.7,43:41.7,4/20/2026,23,156,TRUE,FALSE,Valid
AI192,Air India,MAA,BOM,MAA → BOM,05:41.7,04:41.7,4/20/2026,23,299,TRUE,FALSE,Valid
SJ158,SpiceJet,DEL,HYD,DEL → HYD,05:41.7,24:41.7,4/20/2026,23,139,TRUE,FALSE,Valid
6F196,IndiGo,CCU,MAA,CCU → MAA,04:41.7,47:41.7,4/20/2026,23,103,TRUE,FALSE,Valid
AI080,Air India,BOM,HYD,BOM → HYD,03:41.7,35:41.7,4/20/2026,23,92,TRUE,FALSE,Valid
6F025,IndiGo,BLR,BOM,BLR → BOM,02:41.7,57:41.7,4/20/2026,23,55,FALSE,FALSE,Valid
6F251,IndiGo,DEL,BLR,DEL → BLR,56:41.7,37:41.7,4/20/2026,22,41,FALSE,FALSE,Valid
AI137,Air India,BOM,DEL,BOM → DEL,49:41.7,17:41.7,4/20/2026,22,148,TRUE,FALSE,Valid
6F026,IndiGo,BOM,CCU,BOM → CCU,46:42.0,13:42.0,4/20/2026,22,267,TRUE,FALSE,Valid
UK167,Vistara,DEL,MAA,DEL → MAA,45:41.7,46:41.7,4/20/2026,22,181,TRUE,FALSE,Valid
UK027,Vistara,BOM,CCU,BOM → CCU,44:41.7,05:41.7,4/20/2026,22,141,TRUE,FALSE,Valid
AI069,Air India,DEL,BOM,DEL → BOM,43:41.7,29:41.7,4/20/2026,22,226,TRUE,FALSE,Valid
AI058,Air India,BOM,CCU,BOM → CCU,40:41.7,18:41.7,4/20/2026,22,98,TRUE,FALSE,Valid
AI140,Air India,BOM,DEL,BOM → DEL,25:41.7,08:41.7,4/20/2026,22,223,TRUE,FALSE,Valid
SJ239,SpiceJet,BOM,CCU,BOM → CCU,24:41.7,10:41.7,4/20/2026,22,106,TRUE,FALSE,Valid
